cdate,cp,pctlead,dow,dom,moy,mdy4,mdy5,mdy6,mdy7,xom4,xom5,xom6,xom7,gspc4,gspc5,gspc6,gspc7
2015-03-18,2099.5,0.0,3,18,03,0.995,1.183,1.779,2.719,2.367,1.546,2.197,0.514,1.216,0.88,1.624,1.363
2015-03-17,2074.28,1.216,2,17,03,0.186,1.381,1.887,0.434,-0.802,0.25,0.071,-3.067,-0.332,1.017,1.668,-1.274
2015-03-16,2081.19,-0.332,1,16,03,1.193,0.589,2.445,0.398,1.061,0.641,0.593,-2.776,1.353,0.738,1.812,-0.826
2015-03-13,2053.4,1.353,5,13,03,-0.597,0.5,-0.037,-1.161,-0.416,-0.179,-1.515,-4.28,-0.607,0.645,-1.252,-2.58
2015-03-12,2065.95,-0.607,4,12,03,1.103,1.845,0.923,-1.115,0.238,-0.047,-1.647,-4.339,1.26,1.066,-0.256,-2.429
2015-03-11,2040.24,1.26,3,11,03,0.734,-0.534,-1.426,-1.444,-0.285,-1.339,-3.136,-5.105,-0.192,-1.885,-2.894,-3.053
2015-03-10,2044.16,-0.192,2,10,03,-1.259,-0.905,-1.998,-2.55,-1.057,-1.6,-3.349,-4.952,-1.696,-1.308,-2.591,-3.154
2015-03-09,2079.43,-1.696,1,09,03,0.358,-0.897,-1.125,-1.572,-0.549,-1.822,-2.808,-4.955,0.394,-1.029,-1.345,-1.629
2015-03-06,2071.26,0.394,5,06,03,-1.251,-1.103,-2.02,-2.034,-1.28,-1.778,-2.737,-4.238,-1.417,-1.299,-2.179,-2.09
2015-03-05,2101.04,-1.417,4,05,03,0.15,-0.229,-0.018,-0.667,-0.505,-1.004,-2.033,-2.55,0.12,-0.32,-0.164,-0.409
2015-03-04,2098.53,0.12,3,04,03,-0.378,-0.927,-0.563,-0.808,-0.502,-0.977,-1.658,-3.047,-0.439,-0.891,-0.578,-0.558
2015-03-03,2107.78,-0.439,2,03,03,-0.55,0.212,-0.453,0.281,-0.477,-1.039,-2.21,-2.035,-0.454,0.156,-0.288,0.493
2015-03-02,2117.39,-0.454,1,02,03,0.766,0.367,-0.014,0.729,-0.565,-0.688,-1.543,-3.263,0.612,0.315,0.09,0.843
2015-02-27,2104.5,0.612,5,27,02,-0.396,-0.663,-0.649,0.274,-0.124,-1.183,-0.528,-4.847,-0.296,-0.443,-0.245,0.198
2015-02-26,2110.74,-0.296,4,26,02,-0.268,-0.38,-0.246,0.654,-1.06,-0.861,-1.412,-5.055,-0.148,-0.224,0.021,0.656
2015-02-25,2113.86,-0.148,3,25,02,-0.112,0.014,0.737,1.579,0.201,0.663,0.179,-2.999,-0.077,0.199,0.782,1.215
2015-02-24,2115.48,-0.077,2,24,02,0.127,0.134,0.744,2.648,0.461,-0.556,-1.747,-1.302,0.276,0.245,0.752,2.27
2015-02-23,2109.66,0.276,1,23,02,0.007,0.723,0.929,2.458,-1.012,-0.481,-4.342,-2.198,-0.03,0.582,0.444,1.985
2015-02-20,2110.3,-0.03,5,20,02,0.715,0.609,0.903,3.309,0.537,-1.198,-3.695,-1.791,0.613,0.506,0.635,3.105
2015-02-19,2097.45,0.613,4,19,02,-0.106,0.205,0.835,2.029,-1.725,-3.88,-3.172,-2.251,-0.106,-0.138,0.429,2.042
2015-02-18,2099.68,-0.106,3,18,02,0.311,0.293,1.891,1.755,-2.192,-2.528,0.453,-1.462,-0.031,0.128,1.506,1.802
2015-02-17,2100.34,-0.031,2,17,02,-0.018,0.629,1.515,2.496,-0.343,0.736,2.242,1.738,0.16,0.568,1.535,2.882
2015-02-13,2096.99,0.16,5,13,02,0.648,1.594,2.385,2.094,1.083,3.057,1.977,1.214,0.407,1.376,2.455,2.291
2015-02-12,2088.48,0.407,4,12,02,0.94,0.88,1.184,3.3,1.954,1.494,0.951,3.115,0.964,0.962,1.606,3.347
2015-02-11,2068.53,0.964,3,11,02,-0.059,0.779,-0.134,3.118,-0.45,-1.048,-1.906,3.638,-0.003,1.065,0.291,3.686
2015-02-10,2068.59,-0.003,2,10,02,0.839,0.302,0.967,1.803,-0.601,-0.536,-0.492,3.916,1.068,0.638,1.326,2.342
2015-02-09,2046.74,1.068,1,09,02,-0.532,-0.905,-0.284,1.71,0.066,-0.866,-0.748,4.105,-0.425,-0.765,-0.16,2.227
2015-02-06,2055.47,-0.425,5,06,02,-0.375,0.663,2.091,1.008,-0.931,0.044,2.143,0.605,-0.342,0.684,1.713,1.277
2015-02-05,2062.52,-0.342,4,05,02,1.042,0.627,3.256,0.702,0.984,0.119,5.651,0.654,1.029,0.609,3.385,0.264
2015-02-04,2041.51,1.029,3,04,02,-0.411,1.418,0.828,0.843,-0.856,2.099,4.43,0.627,-0.416,1.022,1.002,-0.502
2015-02-03,2050.03,-0.416,2,03,02,1.836,2.612,1.999,0.741,2.981,5.525,4.889,-0.668,1.444,2.759,2.391,-0.636
2015-02-02,2020.85,1.444,1,02,02,0.762,-0.582,-1.061,0.77,2.471,2.284,-1.506,-2.493,1.296,-0.02,-0.429,-0.555
2015-01-30,1994.99,1.296,5,30,01,-1.334,-0.598,-2.473,0.609,-0.183,-0.603,-4.73,-4.029,-1.299,-0.358,-3.019,-1.363
2015-01-29,2021.25,-1.299,4,29,01,0.746,-0.481,0.015,1.777,-0.421,-3.705,-3.642,-3.885,0.953,-0.409,-1.49,0.091
2015-01-28,2002.16,0.953,3,28,01,-1.219,-1.887,-1.233,2.43,-3.299,-4.152,-5.298,-1.135,-1.35,-2.67,-2.956,0.476
2015-01-27,2029.55,-1.35,2,27,01,-0.676,0.499,1.85,2.542,-0.883,0.066,-1.001,1.348,-1.339,-1.085,-0.126,0.909
2015-01-26,2057.09,-1.339,1,26,01,1.183,0.666,3.16,2.815,0.957,-1.195,0.736,1.956,0.257,-0.294,1.708,1.684
2015-01-23,2051.82,0.257,5,23,01,-0.511,1.345,1.762,1.566,-2.132,-1.067,-0.252,0.62,-0.549,0.969,1.604,1.162
2015-01-22,2063.15,-0.549,4,22,01,1.866,2.478,3.709,1.543,1.088,1.954,4.395,0.836,1.527,2.007,3.537,0.897
2015-01-21,2032.12,1.527,3,21,01,0.601,0.412,0.679,-1.159,0.856,0.823,2.374,-0.39,0.473,0.629,1.037,-1.456
2015-01-20,2022.55,0.473,2,20,01,-0.188,1.201,-0.334,-0.227,-0.033,2.394,1.211,0.408,0.155,1.499,-0.024,-0.165
2015-01-16,2019.42,0.155,5,16,01,1.392,0.266,-0.192,1.313,2.428,1.538,0.875,1.459,1.342,0.405,-0.436,0.839
2015-01-15,1992.67,1.342,4,15,01,-1.111,-1.517,-2.089,-1.248,-0.869,-1.156,-3.409,-1.473,-0.925,-1.501,-2.55,-1.381
2015-01-14,2011.27,-0.925,3,14,01,-0.411,-0.457,-1.825,-1.616,-0.289,-0.653,-2.7,-3.329,-0.581,-0.838,-2.467,-2.28
2015-01-13,2023.03,-0.581,2,13,01,-0.046,-0.58,0.108,-1.368,-0.365,-2.28,-0.794,-2.65,-0.258,-1.065,-0.142,-1.742
2015-01-12,2028.26,-0.258,1,12,01,-0.535,-1.374,1.508,-2.343,-1.922,-2.06,0.579,-2.892,-0.809,-1.643,1.281,-2.504
